index,caption,rank,caption_length
80,Contrast-enhanced computed tomography showing a large cystic mass (arrowheads)causing cardiac compression (arrows).,23,12
81,Axial CT image shows a left superior vena cava (arrow).,43,10
82,"Chest CT showing a diffuse interstitial pulmonary fibrosis, with subpleural involvement, honeycombing and bronchiectasis, characteristics of a usual pattern of interstitial pneumonia.",15,22
83,Magnetic resonance imaging reveals a large acute spinal subarachnoid hematoma extending from C2 to T4 with spinal cord compression and numerous dilated anterior spinal arteries at the C6--T3 levels (white asterisk).,1,31
84,Patent ductus arteriosus (PDA) in Transthoracic echocardiography,21,7
85,A subcutaneous mass was observed on the right hind limb of a cat. The mass was approximately 40 mm in diameter.,229,21
86,Abdominal contrast-enhanced computed tomography scan reveals diffuse enhancing wall thickening (arrow) without an obvious mass-like lesion.,84,16
87,"Computed tomography showed a 5.6 × 4.7 cm mass in the left pelvis along the posterior dome of the bladder, which was consistent with a pheochromocytoma, given its location and the clinical picture.",7,33
88,Orthopantomogram with multiple multilocular radiolucent lesions in the maxilla and mandible,6,11
89,Panoramic radiograph (postoperative),5,3
90,X-ray of the septic ACL reconstructed knee.,10,7
91,Magnetic resonance imaging of the fetal cyst.,29,7
92,Computed tomography scan of the chest performed one month after discharge showed resolution of ground glass opacities.,13,17
93,Magnetic resonance angiography showing no aneurysm at the any portions of arteries.,4,12
94,Orthopantomograph of the patient with periapical radiolucency in relation to lower central incisors and impacted lower third molars,14,18
95,Magnetic resonance imaging showing vertebral duplication and myelocystocoele,7,8
96,"Chest radiograph showing an absence of lung markings and a pleural line in the right chest, suggestive of spontaneous pneumothorax.",6,20
97,Axial T2 gradient echo sequence shows no signal abnormality within right striatum but some scattered blooming artifacts within left thalami consistent with petechial hemorrhages.,7,24
98,Chest CT scan showing a left perihilar mass.,8,8
99,Interlaminar epidural depicting epidural hematomagram (white arrows). Black arrow placed to highlight needle location,59,14
100,Transverse plane of abdominal CT-scan showing the lineal flexure and faecal impaction.,99,12
101,Parasternal short axis view at the level of aortic valve showing dilated left coronary artery (two arrows) and right coronary artery (single arrow),15,23
102,Panoramic view of the patient presenting multiple osteomas. A particularly large lobulated osteoma is present in the right condyle and coronoid process that impacted both permanent and deciduous teeth.,20,29
103,Chest X-ray (AP view) perfromed following the endotracheal intubation in this patient on admission shows the satisfactory position of the endotracheal tube. The lungs are clear with no clear infiltrates or any evidence of pneumothorax.,3,35
104,X-ray demonstrating stone within cutaneous reservoir.,51,6
105,"An axial CT scan of the cerebrum, performed 4 years earlier, on which one could recognize the MRI verified herniation of left parahippocampal gyrus (arrow).",14,25
106,Mammographie de profil de Madame GF montrant une opacité du sein gauche au niveau du quadrant supérointerne classée ACR5,1,19
107,Mucosal leishmaniasis. CT scan showing left maxillary sinusitis and centimetric perforation of the nasal septal cartilage,29,16
108,Computed tomography with intravenous contrast demonstrating large hematoma around the right kidney with contrast extravasation.,27,15
109,Right renal parenchymal laceration (arrow) with perinephric hematoma.,4,8
110,X-ray images from four directions to confirm bone union. Anteroposterior radiograph.,3,11
111,Follow-up CT venous phase.,1,4
112,Paragangliomas. Axial contrast-enhanced CT shows striking enhancement in bilateral carotid body tumors (paragangliomas) with splaying of left-sided internal carotid artery (short arrow) and external carotid artery (dashed arrow). Long arrow shows the internal jugular vein,2,35
113,Fat suppressed magnetic resonance imaging demonstrating edema in the cervical spinal cord as a result of root avulsion.,6,18
114,Anteroposterior view radiograph showing an area of sclerosis in the lateral distal region of the clavicle.,62,16
115,The suspicious lesion and the vacuum-assisted breast biopsy probe underneath the skin.,32,12
116,A panoramic radiograph reveals the fusion of the maxilla and mandible extending from the right upper second premolar to the tip of coronoid process of mandible.,17,26
117,"Femoral angiogram, showing femoral artery occlusion",561,6
118,Sonogram of a foreign body – wood imbedded in the adductor muscle of a 55‐year‐old male.,43,16
119,"MIP RMI reconstruction. Preoperative staging study due to a right breast lesion, where a second lesion was identified at the left breast, corresponding to synchronic bilateral carcinoma.",28,27
120,Superior venogram showing tight stenosis of SVC (arrow).,19,8
121,Plain abdominal X-ray visualizing correct position of stent graft,6,9
122,Ultrasound image at 26 weeks' gestation of a cervical teratoma.,16,10
123,T1rho map shows the segmented posterior horn of the medial meniscus,35,11
124,Postoperative abdominal X-Ray with barium meal.,19,6
125,Aortic arch angiogram of case 1 showing stenoses of multiple large arteries of the aorta.,8,15
126,An computed tomography image. Contrast-enhanced computed tomography demonstrating compression of the left renal vein between the aorta (Ao) and superior mesenteric artery (SMA) with dilatation of the distal part of the left renal vein (LRV).,6,35
127,"An acetabular labral tear visualized with ultrasound. The crosses mark the approximate limits of the triangular-shaped labrum. The thick arrow points to the hypoechoic cleft that runs through the base of the labrum, ending in cystic formation just superior to the labrum (3 thin arrows).",10,45
128,Faint low attenuated areas in the left lentiform nucleus at the level of midbrain are seen,34,16
129,Postoperative CT ImagingPostoperative axial CT showing the extent of the bony clivus resection.,1,13
130,Calculation of shear wave velocity (Vs) of breast lesion. Marginal areas of mass and the surrounding tissues are included in the region of interest. The numeric value of the shear wave velocity is displayed on the monitor.,5,37
131,"Flat-dark-corrected frame from a movie of a live mouse captured with a 200 µm flat-panel detector (Hamamatsu C9252DK-14) at 30 frames s−1. The movie is available online in the supporting information. [Supporting information for this paper is available from the IUCr electronic archives (reference: MO5075).] The vertical line on the right is an artefact of the detector, not the beam.",31,60
132,Sagittal cervical CT scan – Bone window,1,7
133,Brain MR imaging (T1WI) showed hyperintensity of basal nuclei indicating chronic hepatic encephalopathy.,36,13
134,Mirror image,712,2
135,Still image of transthoracic echocardiogram depicting the papillary fibroelastoma (arrow) attached to the septal wall of the left ventricle.,1,19
136,Case 1. X-ray showing a giant-cell tumor of the ulnar head in a 29-year-old patient.,6,15
137,Preoperative lateral view neck radiograph showing thumb sign,7,8
138,CT Chest showing right pulmonary artery aneurysm with thrombus in situ,26,11
139,Lateral x-ray demonstrating the osseous reaction at the distal third of the humerus at the time of admission.,1,18
140,Orthopantomogram showing lesion involving the left side of the hard palate,3,11
141,Endoscopic ultrasonography revealed a tumor with low homogenous echogenicity originating in the gastric muscular layer.,46,15
142,"Transthoracic echocardiography in the four-chamber view showing global left atrial longitudinal strain rate.In the presence of atrial fibrillation, one of the two negative peaks of the strain rate curve disappears (blue arrow).",69,32
143,Lesion regions of Interest. Fluid attenuated inversion recovery (FLAIR) image from subject 8 with lesion core and contusion highlighted on a single axial slice.,3,24
144,"Computertomographic presentation of the distance between the bony tube canal and the internal carotid artery in axial reconstruction. The white arrows mark the lumen of the Eustachian tube, the black arrows mark the bony canal of the internal carotid artery.",78,40
145,Contrast enhanced computed tomography chest horizontal view showing right lower bronchus (a) lying close to large abscess cavity in right lung (b),3,22
146,Massive left sided pleural effusion with shift of mediastinum to right,5,11
147,T2-weighted axial MRI sequence showing bilateral periventricular white matter hyperintensity (arrow) and cortico-subcortical atrophy.,11,14
148,Case 3 ultrasound images: ‘Keyhole sign’ of enlarged fetal bladder and post-bladder neck urethral meatus.,1,15
149,Chest X-ray on admission showed infiltrates and pleural effusion on the right lower zone.,47,14
150,Metastatic brain lesion with central necrosis,6,6
151,Total upper-right lobe atelectasis due to bronchus obstruction.,104,8
152,Femoral bursitis (withe arrow). He was treated for Morel Lavallee syndrome with percutaneous drainage with compression. He underwent one more operation for removal of the bursitis.,571,26
153,Postoperative T1W post-contrast image,14,4
154,"An OptEase® retrievable vena cava filter was placed in the inferior vena cava via the right femoral vein under digital subtraction angiography, and a venogram showed total occlusion of the left iliac vein.",2,33
155,Chest X-ray obtained on arrival showing mild cardiomegaly.,34,8
156,Frozen US image depicting a transverse view of the BT.,16,10
157,Chest X-ray shows a left retrocardiac homogenous opacity (arrow) and left costophrenic angle blunting.,1,14
158,1.9 cm ostium secundum type atrial septal defect in subcostal view.,8,11
159,"Osteolytic lesion in the lower jaw of patient treated with Zometa® for 12 months (59 years old, female, breast cancer).",3,20
160,"Coxal X-ray. It can be seen marked narrowing of the left coxal-femoral joint space, left femoral head deformation, circumscribed areas at the femoral neck, anterior-superior region and subchondral bone attachment aspect.",13,31
161,"ERCP showing poorly defined cystic duct, common bile duct junction",3,10
162,Incomplete filling of the cyst. 23 months after nail removal. Small residual cyst in the area of the former postoperative defect (Capanna Typ 2).,288,24
163,Simultaneous rib fractures in patients with OVCF.,236,7
164,Preanhepatic phase. TEE midesophageal view: clot in the right atrium appears to be attached to 9 French catheter.,25,18
165,AS-OCT image of a patient who has undergone FLEK at 3 months postop showing good scarring and approximation at the interface,1,21
166,"Magnetic resonance imaging (MRI)-invisible 1A endometrial cancer in a 68-year-old woman. A T2-weighted sagittal image shows no focal lesion within the hyperintense endometrium (arrows). Prior to the MRI scan, endometrial biopsy revealed grade II endometrioid adenocarcinoma. Pathologic examination following hysterectomy confirmed no residual cancer but scattered atypical endometrial glands. There was no metastasis in the pelvic and para-aortic lymph nodes. No recurrent cancer has been found for postoperative 49 months.",2,70
167,Well-defined radio-lucency with focal radio-opacity and impacted 38. Root resorption of 36 and 37,56,14
168,Follow-up chest radiograph obtained 2 weeks after (day 37) showing a ball-shaped cavitating mass with crescentic cavitation in the posterior segment of the right upper lobe.,3,26
169,Post-operative computerized tomography scan showing complete tumor excision,2,8
170,"Case 2: 46-year-old man. CE-US images. After contrast administration, a small, well-demarcated nodule in segment VII of the liver is visible.",45,21
171,CT of abdomen coronal section showing severely dilated duodenum (white arrow) and peri-pancreatic fat stranding (yellow arrow).,7,17
172,Testicular US showing hydrocele and presence of catheter in scrotum.,60,10
173,Angiographic confirmation of active bleeding from corona mortis.,3,8
174,Preoperative anteroposterior X-ray showing bilateral osteoarthritis of the hip.,1,9
175,Focal area of high T2 signal change in lower spinal cord from T11-T12 level.,8,14
176,A full-thickness tear (arrow) of the supraspinatus (Ss) is shown (H: humeral head),1,13
177,Transesophageal echocardiogram showing fistula between aortic sinus and the RVOT.,1,10
178,"Chest radiograph, showing no infiltrative shadows",21,6
179,"Enhanced axial CT shows a left inguinal mass, 18 mm in size (arrow).",24,13
180,Left rectus sheath hematoma. A CT scan of the abdomen and pelvis revealing a large left rectus sheath hematoma (arrow).,1,20
181,ACh. Considerable gallbladder wall thickening with visible intramural effusion,2,9
182,Esophagogram anteroposterior view reveals extravasation of contrast from the distal third of esophagus on left side,29,16
183,Abscesses around the right knee joint.,15,6
184,"Distribution of abdominal fat as measured by FatScan software on a CT image. The visceral fat was indicated in red, and the subcutaneous fat was indicated in pink.",2,28
185,Short axis view showing the aorta giving rise to the coronary arteries (arrow) in an anterior position and to the right. The pulmonary trunk is placed in a central position.,3,30
186,A Chest X-ray showing the malposition of a left internal jugular central venous catheter down the left internal mammary (thoracic) vein,53,21
187,"Liquid swallowing image from videofluoroscopy, Clinical Case 1. The occurrence of liquid penetration into the supraglottic region during swallowing in Clinical Case 1 is presented.",1,25
188,Contrast-enhanced CT shows the pulmonary artery pseudoaneurysm (PAP) due to pulmonary aspergillosis in the left upper lobe (arrow).,15,18
189,Chest CT at our hospital showed a tumor in the right posterior mediastinum (arrow). It measured 4.3 cm in diameter and was located beside the 9th thoracic vertebrae,7,28
190,Ultrasound image: from the ruptured aorta (Ao) blood flows (dotted arrow) into the pseudoaneurysm (PsA) and subsequently through the fistula that enters the pulmonary artery (PA) near the bifurcation towards the left (l-PA) and right (r-PA) branch of the PA,66,40
191,Stent deployment proximal to the myocardial bridge,7,7
192,Computerized tomography scan demonstrating the abdominal mass (A). Note the air-filled cavity and soft tissue polyp,108,16
193,True FISP sequence of axial image showing how Kommerell's diverticulum creates a compressive effect on the posterior aspect of the esophagus and trachea,107,23
194,Axial slice from contrast-enhanced CT study demonstrating direct communication and erosion of the abscess cavity into the anterior ascending aorta resulting in a localised peri-aortic area of contrast extravasation (black arrowhead).,102,31
195,CT CVJ showing method to calculate ECD,324,7
196,"Yellow arrow - chance fracture at D5 level, Green arrow - posterior ligamentous disruption, red arrow - cord edema.",2,19
197,Echocardiograph shows segmental analysis of the left ventricle after 2D speckle tracking from the parasternal short-axis view.,13,17
198,Abdominal CT demonstrating multiple abscessed intra-abdominal lymph nodes.,12,8
199,Computed tomography scan of chest showing an anterior mediastinal thymic mass (white arrow).,20,13
200,"2D aortic valve short-axis, transesophageal view displaying fungal vegetation on all three aortic valve leaflets.",19,15
201,Gallstone impacted within the sigmoid colon.,48,6
202,Axial MRI imaging shows mild compression of the spine cord.,3,10
203,CT abdomen showing mass in right adrenal,1,7
204,Endoscopic sonographic image showing well-circumscribed hypoechoic structure in the distal esophagus (blue calipers). There is broad abutment with the aorta (small star).,3,22
205,Left lateral sinus thrombosis on magnetic resonance.,9,7
206,"59-year-old male with myeloma. Contrast-enhanced CT scan of the thorax. The left scapula was almost entirely missing. It was replaced by a large, homogeneous soft-tissue mass that was biopsied, confirming the diagnosis of myeloma.",21,34
207,"Vehicle-mounted MLS data with intensity-scale coloring of a street corner; besides street geometry, intensity data enable identification of road paintings such as zebra crossings.",2,24
208,"Picture illustrating the integration of the fibre into the textile to form the sensing setup, herein called “half oval”.",14,19
209,Emphysematous changes inside the wall of the distended uterus.,19,9
210,A postcontrast computed tomographic scan revealed a pelvic abscess with an air-fluid level.,3,13
211,Splenic metastasis from melanoma. Contrast-enhanced CT shows multiple hypodense masses in the liver (arrowheads) and a large mass in the spleen (arrow) demonstrating central necrosis (*) in a patient with known melanoma representing hepatic and splenic metastasis from melanoma.,1,39
212,CT scan showing a soft tissue mass lying anterior to masseter,19,11
213,Tying in the nose using a Jobson Horne probe,77,9
214,"Renal sonogram showing multiple intracalyceal renal stones in an adult Nigerian, in ideal locations for treatment with extracorporeal shock wave lithotripsy",25,21
215,Axial CT: OF appears as a lesion with well-defined margins showing a hypodense signal corresponding to fibrous tissue (arrowhead) with intralesional foci of hyperdensity corresponding to areas of mineralisation (arrow).,6,30
216,Cardiac dimensions: four-chamber end-systolic view. LAlat: left atrium lateral diameter; LAsi: left atrium supero-inferior diameter; RAlat: right atrium lateral diameter: RAsi: right atrium supero-inferior diameter.,111,25
217,CT abdomen and pelvis without contrast. Coronal view showing small amount of high density perisplenic fluid (white arrows) tracking in the left paracolic gutter and extending into the pelvis.,7,29
218,CT reveals significant reduction of the PPC following drainage,267,9
219,A computed tomographic (CT) scan of the abdomen revealed a 2×2 cm sized soft tissue lesion on the left subdiaphragmatic area.,6,21
220,T1 image of magnetic resonance imaging of the brain showing nonenhancement in the left cavernous sinus indicative of thrombus formation,72,20
221,IOPA showing 4 mesial canals.,29,5
222,"Fluoroscopic images showing dynamic instability due to impingement. The patient has a large anterior cam deformity, seen here on a lateral view with the leg in flexion (a). As the leg is flexed further, the deformity contacts the rim and causes levering of the head (b).",8,46
223,Angiography shows huge ascending dissecting aneurism with prosthetic valve,21,9
224,Echography showing the thrombus present as echoic image inside the right common iliac vein,1,14
225,Medial collateral ligament bursitis. A 56-year-old man with medial knee mass and pain. Coronal T2W fat-saturated image shows an oblong heterogeneous cystic mass (arrow) adjacent to the medial collateral ligament (arrowhead),2,31
226,Pelvic computerized tomography revealed a 3.5 cm tumor at the left lateral wall of the bladder (arrow).,30,17
227,Profile X -Ray of the load bearing foot of patient #6 after 24 months surgery.,12,15
228,Chest X-ray face-on in prone position (Case 2).,4,8
229,Malignant pleural effusion (T4 disease). CT shows pleural soft tissue nodules (arrow) and effusion.,49,14
230,Cross section of a pelvic MRI showing a urethral leiomyoma,5,10
231,Non contrast computed tomography scan showing soft tissue density lesion in left paravertebral area (red arrow) along with multiple lung metastases (yellow arrowheads),1,23
232,"Lateral thoracic and lumbar spine image from DXA study for vertebral morphology. Note compressive deformities at T-7 and T-9, and a Schmorl’s node at L1, with otherwise normal vertebral morphology of the lumbar spine",389,34
233,Initial X-ray examination.,7,3
234,Measurement of the diameters of the pulmonary artery and aorta. Axial chest computed tomographic image at the level of the bifurcation of the main pulmonary artery. Measurements of the diameter of the main pulmonary artery (PA) and that of the aorta (A) at the level of the bifurcation were used to calculate the PA/A ratio. Short arrows show the rises of the bilateral pulmonary arteries. It is the measuring point of the diameter of PA,1,75
235,CT scan of brain showing NCC lesion,16,7
236,Limb shortening/failed proximal locking screw,8,5
237,"Ultrasound image showing low approach interscalene brachial plexus block. Needle pathway (arrows), SCM: sternocleidomastoid muscle, IJV: internal jugular vein, ST: superior trunk of brachial plexus, MSM: middle scalene muscle.",1,29
238,Anteroposterior radiograph demonstrates cranial acetabular retroversion.,43,6
239,X-ray chest Posteroanterior view showing irregular diffuse deposition of mercury in the subcutaneous plane,2,14
240,"The use of color-coded duplex ultrasonography for localization of stones during ESWL. The CCD signal indicates by sound and graphics when the stone is hit by the shock wave. Moreover, the change of the signal may indicate breakage of the stone",37,41
241,"Through-plane SSFP image in systole through the valve tips in a patient with aortic stenosis. The tips are outlined by dark (low signal), partly due to signal loss from shear. The orifice area can in this case be measured directly by planimetry, but this should not be attempted if the outlines are unclear on the available cine images.",4,58
242,2D echo-cardiogram. Four-chamber view shows atrial and ventricular dilation.,12,9
243,"Sample image of sentinel clot, which was determined as focal high-density clotted blood around ovarian cyst on precontrast CT (arrowhead).",21,20
244,Postchemo contrast-enhanced CT showing residual disease with marked response (bold arrow) in iliac lymph nodes.,20,15
245,"Abdominal ultrasonography performed after discharge, showing a normal gallbladder wall.",15,10
246,"Neutral lateral X-rays show interspinous process devices at L4-5 and L5-S1, with minimal spondylolisthesis",1,14
247,Case 1 panoramic film findings. Preoperative panoramic radiograph showing the elongated styloid process,2,13
248,Axial view of splenic rupture and hematoma.,2,7
249,"X-ray pelvis showing collapsed, subluxed head of femur, proximal medullary canal sclerosis, irregular acetabulum with protrusio.",2,16
250,"Pretreatment breast magnetic resonance image. Mass lesions non-suggestive of a specific diagnosis, inflammatory appearance of the parenchyma, and remarkable thickening in the mammary skin of the right breast.",41,28
251,"Echocardiographic image of operated rabbit. Right parasternal view, recording B-mode and Doppler values. Pulmonary artery (Po, as ART POLM in the figure)",1,22
252,Axial slice of Dyna CT showing ethmoidal pseudoaneurysm in left orbital region,31,12
253,Computed tomography scan after injection of contrast medium in parenchymal window showing infarction of the lower pole of the left kidney.,35,21
254,Preoperative radiograph,2,2
255,"Apical four chamber view showing right ventricular dimensions (basal right ventricular diameter = 4.94 cm, mid-right ventricular diameter = 4.54 cm).",20,21
256,Axial CT scan of the brain without contrast 20 hours after completing prostatectomy demonstrates right MCA territory infarction with 3-mm midline shift,2,22
257,"Initial high-resolution computed tomographic image demonstrating right lower lobe nodular, cavitary lung disease.",6,13
